axis,stage,frequency_hz,input_psd,gain,phase_deg,coherence
Roll,rc_to_gyro,11.962890625,0.08957425889114565,1.4823766713488016,-78.82166131626138,0.5564093375630383
Roll,rc_to_gyro,12.20703125,0.09266417965838603,1.7986897772000507,-93.01088424755802,0.6419061790646621
Roll,rc_to_gyro,12.451171875,0.11094956632452004,1.8677633708880723,-108.4235862397925,0.7157010160688593
Roll,rc_to_gyro,12.6953125,0.13264476687500126,1.6397016043697548,-119.04817245784899,0.7314552629464023
Roll,rc_to_gyro,12.939453125,0.14412173056902164,1.418864956591638,-122.54425660540487,0.7793152842136836
Roll,rc_to_gyro,13.18359375,0.13741928281459648,1.4205915618553355,-124.54379542462846,0.8035713683986059
Roll,rc_to_gyro,13.427734375,0.11263357655735327,1.4878239759224037,-128.4595381133469,0.7117067602824266
Roll,rc_to_gyro,13.671875,0.08141403736388955,1.415229525089418,-141.95582361457434,0.567055133161118
Roll,rc_to_gyro,13.916015625,0.05565086772867969,1.1096172448081716,-163.76431276767423,0.41892589848244105
Roll,rc_to_gyro,14.16015625,0.034583832118601596,0.8827199225591811,-163.43238382104227,0.24565262395004941
Roll,rc_to_gyro,14.404296875,0.027018049036302057,0.6804759060125852,-127.76147528397348,0.10520233428690788
Roll,rc_to_gyro,14.6484375,0.02499395774231362,0.5966334144391372,-124.14697417392098,0.08403095465450493
Roll,rc_to_gyro,14.892578125,0.02407855810746,0.6513860809077315,-125.76954995052246,0.09800998848372489
