axis,start_s,end_s,stage,method,lag_ms,correlation,input_std_deg_s
Roll,64,68,smoothing,bandpassed_derivative,15.818916754695975,0.9962267837985799,35.919026599959196
Roll,64,68,rc_to_gyro,bandpassed_level,21.605328017695307,0.9983581822627092,35.919026599959196
Roll,64,68,rc_to_gyro,bandpassed_derivative,26.51837082041979,0.950134293758227,35.919026599959196
Roll,65,69,inner,bandpassed_level,1.735965077321876,0.9968547575583446,94.98435956506822
Roll,65,69,inner,bandpassed_derivative,3.8933540196954928,0.9535674296513399,94.98435956506822
Roll,65,69,smoothing,bandpassed_level,16.247181192945398,0.9998385075369498,94.98435956506822
Roll,65,69,smoothing,bandpassed_derivative,16.082423301050238,0.9973413831833915,94.98435956506822
Roll,65,69,rc_to_gyro,bandpassed_level,18.10825171556284,0.9975982358687465,94.98435956506822
Roll,65,69,rc_to_gyro,bandpassed_derivative,20.112894051073546,0.9642146508179303,94.98435956506822
Roll,66,70,inner,bandpassed_level,1.4975144880968907,0.9968514132342342,97.9405654459694
Roll,66,70,inner,bandpassed_derivative,3.8421204468548553,0.9525031688413195,97.9405654459694
Roll,66,70,smoothing,bandpassed_level,16.272121007503035,0.9998615889410513,97.9405654459694
Roll,66,70,smoothing,bandpassed_derivative,16.08691382079499,0.9974226112436871,97.9405654459694
Roll,66,70,rc_to_gyro,bandpassed_level,17.942754547878938,0.9974857144109528,97.9405654459694
Roll,66,70,rc_to_gyro,bandpassed_derivative,20.062309822801893,0.9627662392847477,97.9405654459694
Roll,67,71,inner,bandpassed_level,1.4661915625265365,0.9968736679159795,97.66169549310162
Roll,67,71,inner,bandpassed_derivative,3.83987192629181,0.9517880740563072,97.66169549310162
Roll,67,71,smoothing,bandpassed_level,16.272690053536675,0.9998618217333516,97.66169549310162
Roll,67,71,smoothing,bandpassed_derivative,16.086271023250696,0.9974050764355584,97.66169549310162
Roll,67,71,rc_to_gyro,bandpassed_level,17.91392619021628,0.9975110274618921,97.66169549310162
Roll,67,71,rc_to_gyro,bandpassed_derivative,20.056984118309337,0.9620968475514888,97.66169549310162
Roll,76,80,inner,bandpassed_level,2.8995984998807325,0.9996385609891507,99.7823379021807
Roll,76,80,inner,bandpassed_derivative,6.862457337421459,0.9774878207928971,99.7823379021807
Roll,76,80,smoothing,bandpassed_level,16.094194385667375,0.9999840272118578,99.7823379021807
Roll,76,80,smoothing,bandpassed_derivative,15.633355196165953,0.9987911474381185,99.7823379021807
Roll,76,80,rc_to_gyro,bandpassed_level,19.314820240274653,0.9996228340428193,99.7823379021807
Roll,76,80,rc_to_gyro,bandpassed_derivative,22.689001209198654,0.9803158420211794,99.7823379021807
Roll,77,81,inner,bandpassed_level,-0.6179802215470533,0.9993526529676818,130.94005467289298
Roll,77,81,inner,bandpassed_derivative,3.228776459126442,0.9598889161334102,130.94005467289298
Roll,77,81,smoothing,bandpassed_level,16.3426294308922,0.9999858196173825,130.94005467289298
Roll,77,81,smoothing,bandpassed_derivative,16.085540294505876,0.9990746471956777,130.94005467289298
Roll,77,81,rc_to_gyro,bandpassed_level,15.765907647135844,0.9993663862024784,130.94005467289298
Roll,77,81,rc_to_gyro,bandpassed_derivative,19.570703423121405,0.9599945202394717,130.94005467289298
Roll,78,82,inner,bandpassed_level,-0.5943171201988788,0.9993479144094178,129.78962965614568
Roll,78,82,inner,bandpassed_derivative,3.4621140195712172,0.9597896168777053,129.78962965614568
Roll,78,82,smoothing,bandpassed_level,16.34025326332475,0.999985963369562,129.78962965614568
Roll,78,82,smoothing,bandpassed_derivative,16.06438833305075,0.9990252498535168,129.78962965614568
Roll,78,82,rc_to_gyro,bandpassed_level,15.789460337077902,0.9993644231242564,129.78962965614568
Roll,78,82,rc_to_gyro,bandpassed_derivative,19.785093923314303,0.9600200589893603,129.78962965614568
Roll,79,83,inner,bandpassed_level,-0.4923001028851017,0.9993219696196796,140.90713712624512
Roll,79,83,inner,bandpassed_derivative,3.9890922375357882,0.9593127551891517,140.90713712624512
Roll,79,83,smoothing,bandpassed_level,16.338123648009606,0.9999856340742708,140.90713712624512
Roll,79,83,smoothing,bandpassed_derivative,16.01174697640792,0.9989077012713327,140.90713712624512
Roll,79,83,rc_to_gyro,bandpassed_level,15.900112563775677,0.9993347044740539,140.90713712624512
Roll,79,83,rc_to_gyro,bandpassed_derivative,20.301125282855253,0.9588529774805491,140.90713712624512
Roll,80,84,inner,bandpassed_level,-1.8013730092518008,0.99892009050518,111.78228461025537
