t,epoch,px,py,pz,vx,vy,vz,yaw,pvarx,pvary,pvarz,vvarx,vvary,vvarz,yawvar
27.55832704,0,-6.6029210483375085,3.5653064641246326,5.395987336212606,0.48,0.89,0.49,2.2759093446006062,1.5202890000000002,1.5202890000000002,4.355569000000001,0.195364,0.195364,0.195364,0.030461741978670857
27.658458112,0,-6.586288944414763,3.631947634234698,5.363989430482356,0.37,0.75,0.45,2.274164015348611,1.517824,1.517824,4.343056000000001,0.18318399999999999,0.18318399999999999,0.18318399999999999,0.030461741978670857
27.758560256000003,0,-6.5613408301042115,3.6874819330045803,5.332000768989673,0.36,0.5700000000000001,0.36,2.274164015348611,1.517824,1.517824,4.347225,0.179776,0.179776,0.179776,0.030461741978670857
27.874735360000003,0,-6.5862888625872085,3.720802548543417,5.294875829130902,0.0,0.47000000000000003,0.58,2.274164015348611,1.5153610000000002,1.5153610000000002,4.330560999999999,0.188356,0.188356,0.188356,0.030461741978670857
27.95887232,0,-6.594604843121789,3.7652300132226193,5.26798900508382,0.12,0.71,0.45,2.272418686096617,1.5129,1.5129,4.318083999999999,0.18576099999999998,0.18576099999999998,0.18576099999999998,0.030461741978670857
28.058992896000003,0,-6.577972747612862,3.820764319654038,5.235994453457458,0.32,0.62,0.24,2.272418686096617,1.5104410000000001,1.5104410000000001,4.305625000000001,0.189225,0.189225,0.189225,0.030461741978670857
28.157092864000003,0,-6.577972706508449,3.8651917758926464,5.204645607734477,0.05,0.68,0.18,2.274164015348611,1.5104410000000001,1.5104410000000001,4.289041000000001,0.190096,0.190096,0.190096,0.030461741978670857
28.259224832,0,-6.569656636524248,3.9207260896949627,5.172008295271581,0.21,0.42,0.26,2.272418686096617,1.507984,1.507984,4.276624,0.18404099999999998,0.18404099999999998,0.18404099999999998,0.030461741978670857
28.359388416,0,-6.569656596065023,3.965153547235089,5.140000000000001,0.31,0.78,0.2,2.272418686096617,1.5055290000000001,1.5055290000000001,4.264225,0.17056900000000003,0.17056900000000003,0.17056900000000003,0.030461741978670857
28.457515008,0,-6.569656545007102,4.020687868010432,5.123306932564937,0.32,0.67,0.02,2.274164015348611,1.5055290000000001,1.5055290000000001,4.268355999999999,0.15760900000000003,0.15760900000000003,0.15760900000000003,0.030461741978670857
28.557621504,0,-6.528076368032083,4.098435879573221,5.1062770484697495,0.31,0.8300000000000001,0.25,2.274164015348611,1.5055290000000001,1.5055290000000001,4.268355999999999,0.17056900000000003,0.17056900000000003,0.17056900000000003,0.030461741978670857
28.657765376,0,-6.519760286811297,4.165077058511564,5.089240806056438,0.16,0.81,0.33,2.274164015348611,1.5055290000000001,1.5055290000000001,4.268355999999999,0.18404099999999998,0.18404099999999998,0.18404099999999998,0.030461741978670857
